
Processing dataset
Estimated duration for training and optimization: 64000 ms (1 min 4 sec)
Creating a new network

Iteration number 1
NMSE is 15.777 on Training Set and  3.536 on Test Set
NMSE is  0.033 on Training Set and  0.007 on Test Set
NMSE is  0.033 on Training Set and  0.007 on Test Set
NMSE is  0.032 on Training Set and  0.007 on Test Set
NMSE is  0.032 on Training Set and  0.006 on Test Set
NMSE is  0.031 on Training Set and  0.006 on Test Set
NMSE is  0.031 on Training Set and  0.006 on Test Set
NMSE is  0.031 on Training Set and  0.006 on Test Set
NMSE is  0.031 on Training Set and  0.006 on Test Set
NMSE is  0.030 on Training Set and  0.006 on Test Set
NMSE is  0.030 on Training Set and  0.006 on Test Set
NMSE is  0.030 on Training Set and  0.006 on Test Set
NMSE is  0.029 on Training Set and  0.006 on Test Set
NMSE is  0.029 on Training Set and  0.006 on Test Set
NMSE is  0.029 on Training Set and  0.006 on Test Set
NMSE is  0.028 on Training Set and  0.006 on Test Set
NMSE is  0.028 on Training Set and  0.006 on Test Set
NMSE is  0.028 on Training Set and  0.005 on Test Set
NMSE is  0.028 on Training Set and  0.005 on Test Set
NMSE is  0.028 on Training Set and  0.005 on Test Set
NMSE is  0.027 on Training Set and  0.005 on Test Set
NMSE is  0.027 on Training Set and  0.005 on Test Set
NMSE is  0.027 on Training Set and  0.005 on Test Set
NMSE is  0.027 on Training Set and  0.005 on Test Set
NMSE is  0.027 on Training Set and  0.005 on Test Set
NMSE is  0.026 on Training Set and  0.005 on Test Set
NMSE is  0.026 on Training Set and  0.005 on Test Set
NMSE is  0.026 on Training Set and  0.005 on Test Set
NMSE is  0.026 on Training Set and  0.005 on Test Set
NMSE is  0.026 on Training Set and  0.005 on Test Set
NMSE is  0.026 on Training Set and  0.005 on Test Set
NMSE is  0.026 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.025 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.024 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.005 on Test Set
NMSE is  0.023 on Training Set and  0.004 on Test Set
NMSE is  0.023 on Training Set and  0.004 on Test Set
NMSE is  0.023 on Training Set and  0.004 on Test Set
NMSE is  0.023 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.022 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.021 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.020 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.019 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.018 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.017 on Training Set and  0.004 on Test Set
NMSE is  0.016 on Training Set and  0.004 on Test Set
NMSE is  0.016 on Training Set and  0.004 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
